time,id,x,y,angle,speed
0.00,0,615.50,1795.20,90.00,0.00
0.00,1,595.20,1184.50,180.00,0.00
0.00,10,1195.20,1784.50,180.00,0.00
0.00,11,4.80,1215.50,0.00,0.00
0.00,12,11.50,-4.80,90.00,0.00
0.00,13,11.50,1795.20,90.00,0.00
0.00,14,584.50,1204.80,270.00,0.00
0.00,15,584.50,604.80,270.00,0.00
0.00,17,15.50,1195.20,90.00,0.00
0.00,18,1195.20,1184.50,180.00,0.00
0.00,19,1784.50,604.80,270.00,0.00
0.00,2,1215.50,1795.20,90.00,0.00
0.00,20,1795.20,1184.50,180.00,0.00
0.00,21,615.50,1195.20,90.00,0.00
0.00,22,615.50,595.20,90.00,0.00
0.00,24,4.80,11.50,0.00,0.00
0.00,25,1795.20,584.50,180.00,0.00
0.00,26,604.80,15.50,0.00,0.00
0.00,27,584.50,1804.80,270.00,0.00
0.00,3,1184.50,4.80,270.00,0.00
0.00,31,1788.50,1804.80,270.00,0.00
0.00,33,1195.20,584.50,180.00,0.00
0.00,34,1788.50,4.80,270.00,0.00
0.00,37,-4.80,1184.50,180.00,0.00
0.00,39,4.80,615.50,0.00,0.00
0.00,4,604.80,615.50,0.00,0.00
0.00,42,1804.80,1215.50,0.00,0.00
0.00,44,584.50,4.80,270.00,0.00
0.00,50,604.80,1215.50,0.00,0.00
0.00,57,615.50,-4.80,90.00,0.00
0.00,6,1215.50,-4.80,90.00,0.00
0.00,62,-4.80,1788.50,180.00,0.00
0.00,66,595.20,1784.50,180.00,0.00
0.00,7,1204.80,1215.50,0.00,0.00
0.00,74,1784.50,1204.80,270.00,0.00
0.00,8,1204.80,15.50,0.00,0.00
0.00,82,-4.80,584.50,180.00,0.00
0.00,88,1215.50,595.20,90.00,0.00
0.00,89,1184.50,1204.80,270.00,0.00
0.00,9,1184.50,1804.80,270.00,0.00
0.00,95,15.50,595.20,90.00,0.00
1.00,0,617.61,1795.20,90.00,2.11
1.00,1,595.20,1182.58,180.00,1.92
1.00,10,1195.20,1781.93,180.00,2.57
1.00,11,4.80,1217.57,0.00,2.07
1.00,12,13.58,-4.80,90.00,2.08
1.00,13,13.08,1795.20,90.00,1.58
1.00,14,582.61,1204.80,270.00,1.89
1.00,15,582.09,604.80,270.00,2.41
1.00,17,17.42,1195.20,90.00,1.92
1.00,18,1195.20,1182.37,180.00,2.13
1.00,19,1782.55,604.80,270.00,1.95
1.00,2,1217.21,1795.20,90.00,1.71
1.00,20,1795.20,1182.66,180.00,1.84
1.00,21,617.23,1195.20,90.00,1.73
1.00,22,617.64,595.20,90.00,2.14
1.00,24,4.80,13.12,0.00,1.62
1.00,25,1795.20,582.16,180.00,2.34
1.00,26,604.80,17.37,0.00,1.87
1.00,27,582.39,1804.80,270.00,2.11
1.00,3,1181.99,4.80,270.00,2.51
1.00,31,1785.96,1804.80,270.00,2.54
1.00,33,1195.20,581.97,180.00,2.53
1.00,34,1786.01,4.80,270.00,2.49
1.00,37,-4.80,1182.17,180.00,2.33
1.00,39,4.80,617.37,0.00,1.87
1.00,4,604.80,617.42,0.00,1.92
1.00,42,1804.80,1217.02,0.00,1.52
1.00,44,582.40,4.80,270.00,2.10
1.00,50,604.80,1217.12,0.00,1.62
1.00,57,616.86,-4.80,90.00,1.36
1.00,6,1217.35,-4.80,90.00,1.85
1.00,62,-4.80,1786.44,180.00,2.06
1.00,66,595.20,1782.90,180.00,1.60
1.00,7,1204.80,1217.58,0.00,2.08
1.00,74,1782.59,1204.80,270.00,1.91
1.00,8,1204.80,17.05,0.00,1.55
1.00,82,-4.80,582.58,180.00,1.92
1.00,88,1216.98,595.20,90.00,1.48
1.00,89,1182.39,1204.80,270.00,2.11
1.00,9,1183.16,1804.80,270.00,1.34
1.00,95,17.80,595.20,90.00,2.30
2.00,0,621.61,1795.20,90.00,4.00
2.00,1,595.20,1179.25,180.00,3.33
2.00,10,1195.20,1777.76,180.00,4.18
2.00,11,4.80,1221.68,0.00,4.12
2.00,12,17.15,-4.80,90.00,3.57
2.00,13,16.10,1795.20,90.00,3.02
2.00,14,578.17,1204.80,270.00,4.44
2.00,15,577.85,604.80,270.00,4.24
2.00,17,21.25,1195.20,90.00,3.83
2.00,18,1195.20,1178.55,180.00,3.82
2.00,19,1778.83,604.80,270.00,3.72
2.00,2,1220.95,1795.20,90.00,3.74
2.00,20,1795.20,1178.82,180.00,3.84
2.00,21,621.24,1195.20,90.00,4.02
2.00,22,621.14,595.20,90.00,3.50
2.00,24,4.80,16.18,0.00,3.06
2.00,25,1795.20,577.75,180.00,4.42
2.00,26,604.80,21.31,0.00,3.94
2.00,27,578.09,1804.80,270.00,4.30
2.00,3,1177.00,4.80,270.00,4.98
2.00,31,1780.90,1804.80,270.00,5.06
2.00,33,1195.20,576.98,180.00,4.99
2.00,34,1781.00,4.80,270.00,5.00
2.00,37,-4.80,1178.38,180.00,3.79
2.00,39,4.80,621.82,0.00,4.45
2.00,4,604.80,620.92,0.00,3.50
2.00,42,1804.80,1219.93,0.00,2.91
2.00,44,578.21,4.80,270.00,4.19
2.00,50,604.80,1220.24,0.00,3.12
2.00,54,1788.50,1804.80,270.00,0.00
2.00,57,620.60,-4.80,90.00,3.74
2.00,6,1221.19,-4.80,90.00,3.83
2.00,60,1195.20,584.50,180.00,0.00
2.00,62,-4.80,1782.07,180.00,4.37
2.00,66,595.20,1778.90,180.00,3.99
2.00,7,1204.80,1222.22,0.00,4.64
2.00,74,1778.91,1204.80,270.00,3.68
2.00,8,1204.80,20.92,0.00,3.87
2.00,82,-4.80,578.43,180.00,4.15
2.00,88,1219.93,595.20,90.00,2.96
2.00,89,1178.36,1204.80,270.00,4.03
2.00,9,1180.38,1804.80,270.00,2.79
2.00,95,22.36,595.20,90.00,4.56
3.00,0,627.94,1795.20,90.00,6.33
3.00,1,595.20,1173.46,180.00,5.79
3.00,10,1195.20,1771.04,180.00,6.71
3.00,11,4.80,1228.01,0.00,6.33
3.00,12,22.72,-4.80,90.00,5.57
3.00,13,21.20,1795.20,90.00,5.10
3.00,14,571.74,1204.80,270.00,6.43
3.00,15,571.67,604.80,270.00,6.17
3.00,16,1215.50,1795.20,90.00,0.00
3.00,17,27.25,1195.20,90.00,6.00
3.00,18,1195.20,1172.28,180.00,6.27
3.00,19,1773.18,604.80,270.00,5.65
3.00,2,1226.18,1795.20,90.00,5.23
3.00,20,1795.20,1172.68,180.00,6.14
3.00,21,627.82,1195.20,90.00,6.58
3.00,22,626.55,595.20,90.00,5.41
3.00,23,15.50,1195.20,90.00,0.00
3.00,24,4.80,21.45,0.00,5.27
3.00,25,1795.20,571.42,180.00,6.33
3.00,26,604.80,27.56,0.00,6.26
3.00,27,571.67,1804.80,270.00,6.42
3.00,28,1204.80,15.50,0.00,0.00
3.00,3,1170.43,4.80,270.00,6.57
3.00,30,615.50,1795.20,90.00,0.00
3.00,31,1774.37,1804.80,270.00,6.52
3.00,32,584.50,1804.80,270.00,0.00
3.00,33,1195.20,570.48,180.00,6.50
3.00,34,1773.55,4.80,270.00,7.46
3.00,35,584.50,1204.80,270.00,0.00
3.00,36,4.80,11.50,0.00,0.00
3.00,37,-4.80,1172.67,180.00,5.71
3.00,38,584.50,604.80,270.00,0.00
3.00,39,4.80,627.84,0.00,6.01
3.00,4,604.80,626.98,0.00,6.06
3.00,41,1795.20,584.50,180.00,0.00
3.00,42,1804.80,1224.53,0.00,4.60
3.00,44,572.37,4.80,270.00,5.85
3.00,45,1184.50,1804.80,270.00,0.00
3.00,47,615.50,595.20,90.00,0.00
3.00,48,604.80,15.50,0.00,0.00
3.00,5,604.80,615.50,0.00,0.00
3.00,50,604.80,1224.79,0.00,4.55
3.00,51,1804.80,1215.50,0.00,0.00
3.00,54,1788.14,1804.80,270.00,0.36
3.00,56,1195.20,1184.50,180.00,0.00
3.00,57,626.37,-4.80,90.00,5.77
3.00,6,1226.98,-4.80,90.00,5.79
3.00,60,1195.20,584.04,180.00,0.46
3.00,62,-4.80,1775.45,180.00,6.62
3.00,64,1788.50,4.80,270.00,0.00
3.00,65,1184.50,4.80,270.00,0.00
3.00,66,595.20,1773.08,180.00,5.83
3.00,67,-4.80,1184.50,180.00,0.00
3.00,69,4.80,1215.50,0.00,0.00
3.00,7,1204.80,1228.55,0.00,6.33
3.00,71,1795.20,1184.50,180.00,0.00
3.00,73,1215.50,-4.80,90.00,0.00
3.00,74,1772.75,1204.80,270.00,6.16
3.00,75,584.50,4.80,270.00,0.00
3.00,8,1204.80,27.19,0.00,6.28
3.00,81,1204.80,1215.50,0.00,0.00
3.00,82,-4.80,572.13,180.00,6.30
3.00,85,1784.50,604.80,270.00,0.00
3.00,86,-4.80,1788.50,180.00,0.00
3.00,88,1225.10,595.20,90.00,5.17
3.00,89,1172.98,1204.80,270.00,5.38
3.00,9,1175.81,1804.80,270.00,4.57
3.00,91,11.50,1795.20,90.00,0.00
3.00,95,28.78,595.20,90.00,6.43
3.00,98,615.50,1195.20,90.00,0.00
3.00,99,615.50,-4.80,90.00,0.00
4.00,0,636.21,1795.20,90.00,8.28
4.00,1,595.20,1165.41,180.00,8.05
4.00,10,1195.20,1762.54,180.00,8.50
4.00,11,4.80,1236.56,0.00,8.55
4.00,12,29.94,-4.80,90.00,7.22
4.00,13,28.51,1795.20,90.00,7.31
4.00,14,563.64,1204.80,270.00,8.10
4.00,15,563.17,604.80,270.00,8.50
4.00,16,1217.31,1795.20,90.00,1.81
4.00,17,34.68,1195.20,90.00,7.43
4.00,18,1195.20,1164.41,180.00,7.87
4.00,19,1766.11,604.80,270.00,7.06
4.00,2,1233.40,1795.20,90.00,7.23
4.00,20,1795.20,1165.02,180.00,7.66
4.00,21,636.70,1195.20,90.00,8.88
4.00,22,633.50,595.20,90.00,6.95
4.00,23,17.64,1195.20,90.00,2.14
4.00,24,4.80,28.16,0.00,6.71
4.00,25,1795.20,563.02,180.00,8.40
4.00,26,604.80,35.48,0.00,7.92
4.00,27,562.67,1804.80,270.00,9.00
4.00,28,1204.80,17.47,0.00,1.97
4.00,3,1162.52,4.80,270.00,7.92
4.00,30,617.36,1795.20,90.00,1.86
4.00,31,1766.46,1804.80,270.00,7.91
4.00,32,583.03,1804.80,270.00,1.47
4.00,33,1195.20,561.47,180.00,9.01
4.00,34,1763.53,4.80,270.00,10.02
4.00,35,582.45,1204.80,270.00,2.05
4.00,36,4.80,13.42,0.00,1.92
4.00,37,-4.80,1164.60,180.00,8.07
4.00,38,582.27,604.80,270.00,2.23
4.00,39,4.80,635.56,0.00,7.72
4.00,4,604.80,634.35,0.00,7.37
4.00,41,1795.20,582.27,180.00,2.23
4.00,42,1804.80,1231.29,0.00,6.76
4.00,44,564.31,4.80,270.00,8.06
4.00,45,1183.75,1804.80,270.00,0.75
4.00,47,616.94,595.20,90.00,1.44
4.00,48,604.80,17.22,0.00,1.72
4.00,5,604.80,617.22,0.00,1.72
4.00,50,604.80,1231.00,0.00,6.21
4.00,51,1804.80,1216.38,0.00,0.88
4.00,54,1785.78,1804.80,270.00,2.35
4.00,56,1195.20,1182.58,180.00,1.92
4.00,57,633.84,-4.80,90.00,7.47
4.00,6,1234.44,-4.80,90.00,7.47
4.00,60,1195.20,581.68,180.00,2.36
4.00,62,-4.80,1767.15,180.00,8.30
4.00,64,1786.71,4.80,270.00,1.79
4.00,65,1182.87,4.80,270.00,1.63
4.00,66,595.20,1765.92,180.00,7.16
4.00,67,-4.80,1182.06,180.00,2.44
4.00,69,4.80,1217.92,0.00,2.42
4.00,7,1204.80,1237.11,0.00,8.56
4.00,71,1795.20,1182.88,180.00,1.62
4.00,73,1216.85,-4.80,90.00,1.35
4.00,74,1765.14,1204.80,270.00,7.61
4.00,75,582.77,4.80,270.00,1.73
4.00,8,1204.80,35.93,0.00,8.74
4.00,81,1204.80,1217.36,0.00,1.86
4.00,82,-4.80,563.59,180.00,8.54
4.00,85,1783.01,604.80,270.00,1.49
4.00,86,-4.80,1786.52,180.00,1.98
4.00,88,1232.72,595.20,90.00,7.61
4.00,89,1166.02,1204.80,270.00,6.96
4.00,9,1168.99,1804.80,270.00,6.82
4.00,91,12.80,1795.20,90.00,1.30
4.00,95,36.92,595.20,90.00,8.14
4.00,98,617.78,1195.20,90.00,2.28
4.00,99,617.62,-4.80,90.00,2.12
5.00,0,646.86,1795.20,90.00,10.64
5.00,1,595.20,1155.34,180.00,10.07
5.00,10,1195.20,1752.30,180.00,10.25
5.00,11,4.80,1246.73,0.00,10.18
5.00,12,38.51,-4.80,90.00,8.56
5.00,13,37.22,1795.20,90.00,8.71
5.00,14,553.00,1204.80,270.00,10.65
5.00,15,553.33,604.80,270.00,9.84
5.00,16,1221.17,1795.20,90.00,3.86
5.00,17,43.55,1195.20,90.00,8.87
5.00,18,1195.20,1154.28,180.00,10.13
5.00,19,1756.67,604.80,270.00,9.45
5.00,2,1243.08,1795.20,90.00,9.68
5.00,20,1795.20,1155.85,180.00,9.18
5.00,21,647.28,1195.20,90.00,10.58
5.00,22,642.09,595.20,90.00,8.59
5.00,23,22.00,1195.20,90.00,4.36
5.00,24,4.80,37.45,0.00,9.29
5.00,25,1795.20,552.20,180.00,10.83
5.00,26,604.80,45.53,0.00,10.05
5.00,27,552.36,1804.80,270.00,10.32
5.00,28,1204.80,21.53,0.00,4.06
5.00,3,1152.47,4.80,270.00,10.05
5.00,30,621.08,1795.20,90.00,3.72
5.00,31,1756.52,1804.80,270.00,9.94
5.00,32,579.59,1804.80,270.00,3.44
5.00,33,1195.20,550.51,180.00,10.96
5.00,34,1751.38,4.80,270.00,12.14
5.00,35,578.86,1204.80,270.00,3.59
5.00,36,4.80,17.53,0.00,4.11
5.00,37,-4.80,1154.49,180.00,10.11
5.00,38,577.80,604.80,270.00,4.47
5.00,39,4.80,645.33,0.00,9.77
5.00,4,604.80,643.67,0.00,9.32
5.00,41,1795.20,578.54,180.00,3.74
5.00,42,1804.80,1240.58,0.00,9.29
5.00,44,553.73,4.80,270.00,10.57
5.00,45,1181.44,1804.80,270.00,2.31
5.00,47,619.98,595.20,90.00,3.04
5.00,48,604.80,21.14,0.00,3.92
5.00,5,604.80,621.27,0.00,4.05
5.00,50,604.80,1238.97,0.00,7.97
5.00,51,1804.80,1219.63,0.00,3.25
5.00,54,1781.82,1804.80,270.00,3.96
5.00,56,1195.20,1178.61,180.00,3.97
5.00,57,643.60,-4.80,90.00,9.75
5.00,6,1244.02,-4.80,90.00,9.57
5.00,60,1195.20,576.81,180.00,4.86
5.00,62,-4.80,1756.39,180.00,10.75
5.00,64,1783.14,4.80,270.00,3.57
5.00,65,1178.87,4.80,270.00,4.00
5.00,66,595.20,1756.43,180.00,9.49
5.00,67,-4.80,1177.74,180.00,4.32
5.00,69,4.80,1221.98,0.00,4.05
5.00,7,1204.80,1247.21,0.00,10.10
5.00,71,1795.20,1179.19,180.00,3.69
5.00,73,1220.40,-4.80,90.00,3.55
5.00,74,1755.05,1204.80,270.00,10.10
5.00,75,579.12,4.80,270.00,3.65
5.00,8,1204.80,47.18,0.00,11.25
5.00,81,1204.80,1221.83,0.00,4.46
5.00,82,-4.80,553.58,180.00,10.01
5.00,85,1779.53,604.80,270.00,3.49
5.00,86,-4.80,1782.47,180.00,4.05
5.00,88,1242.08,595.20,90.00,9.37
5.00,89,1157.48,1204.80,270.00,8.54
5.00,9,1160.67,1804.80,270.00,8.33
5.00,91,16.53,1795.20,90.00,3.72
5.00,95,47.63,595.20,90.00,10.72
5.00,98,621.94,1195.20,90.00,4.16
5.00,99,621.50,-4.80,90.00,3.89
6.00,0,659.27,1795.20,90.00,12.42
6.00,1,595.20,1144.03,180.00,11.30
6.00,10,1195.20,1739.91,180.00,12.39
6.00,11,4.80,1258.64,0.00,11.91
6.00,12,49.65,-4.80,90.00,11.15
6.00,13,47.40,1795.20,90.00,10.18
6.00,14,540.23,1204.80,270.00,12.76
6.00,15,541.70,604.80,270.00,11.63
6.00,16,1227.54,1795.20,90.00,6.36
6.00,17,54.09,1195.20,90.00,10.54
6.00,18,1195.20,1142.83,180.00,11.45
6.00,19,1745.46,604.80,270.00,11.21
6.00,2,1254.40,1795.20,90.00,11.32
6.00,20,1795.20,1145.30,180.00,10.54
6.00,21,660.23,1195.20,90.00,12.96
6.00,22,652.53,595.20,90.00,10.43
6.00,23,28.83,1195.20,90.00,6.84
6.00,24,4.80,48.98,0.00,11.53
6.00,25,1795.20,539.96,180.00,12.23
6.00,26,604.80,57.59,0.00,12.06
6.00,27,540.97,1804.80,270.00,11.38
6.00,28,1204.80,27.35,0.00,5.82
6.00,29,604.80,615.50,0.00,0.00
6.00,3,1141.12,4.80,270.00,11.34
6.00,30,626.33,1795.20,90.00,5.25
6.00,31,1744.99,1804.80,270.00,11.53
6.00,32,574.53,1804.80,270.00,5.07
6.00,33,1195.20,537.43,180.00,13.08
6.00,34,1736.84,4.80,270.00,14.54
6.00,35,573.97,1204.80,270.00,4.89
6.00,36,4.80,23.67,0.00,6.14
6.00,37,-4.80,1142.02,180.00,12.47
6.00,38,571.00,604.80,270.00,6.80
6.00,39,4.80,656.57,0.00,11.24
6.00,4,604.80,654.59,0.00,10.92
6.00,40,4.80,11.50,0.00,0.00
6.00,41,1795.20,572.36,180.00,6.17
6.00,42,1804.80,1251.46,0.00,10.87
6.00,44,542.18,4.80,270.00,11.56
6.00,45,1177.41,1804.80,270.00,4.03
6.00,46,584.50,1804.80,270.00,0.00
6.00,47,625.58,595.20,90.00,5.60
6.00,48,604.80,26.67,0.00,5.53
6.00,49,584.50,1204.80,270.00,0.00
6.00,5,604.80,627.70,0.00,6.43
6.00,50,604.80,1248.88,0.00,9.91
6.00,51,1804.80,1224.24,0.00,4.61
6.00,53,604.80,15.50,0.00,0.00
6.00,54,1776.04,1804.80,270.00,5.78
6.00,55,1788.50,1804.80,270.00,0.00
6.00,56,1195.20,1173.19,180.00,5.43
6.00,57,655.56,-4.80,90.00,11.96
6.00,58,15.50,1195.20,90.00,0.00
6.00,6,1256.13,-4.80,90.00,12.12
6.00,60,1195.20,569.41,180.00,7.40
6.00,61,1215.50,1795.20,90.00,0.00
6.00,62,-4.80,1744.40,180.00,11.99
6.00,63,1795.20,584.50,180.00,0.00
6.00,64,1778.03,4.80,270.00,5.11
6.00,65,1172.33,4.80,270.00,6.53
6.00,66,595.20,1745.49,180.00,10.94
6.00,67,-4.80,1171.65,180.00,6.08
6.00,69,4.80,1228.60,0.00,6.62
6.00,7,1204.80,1259.59,0.00,12.38
6.00,71,1795.20,1173.10,180.00,6.08
6.00,73,1226.03,-4.80,90.00,5.63
6.00,74,1743.07,1204.80,270.00,11.98
6.00,75,572.94,4.80,270.00,6.18
6.00,78,615.50,595.20,90.00,0.00
6.00,8,1204.80,60.16,0.00,12.98
6.00,80,584.50,604.80,270.00,0.00
6.00,81,1204.80,1227.81,0.00,5.99
6.00,82,-4.80,541.37,180.00,12.21
6.00,83,4.80,1215.50,0.00,0.00
6.00,85,1773.71,604.80,270.00,5.82
6.00,86,-4.80,1776.22,180.00,6.25
6.00,87,1804.80,1215.50,0.00,0.00
6.00,88,1252.76,595.20,90.00,10.68
6.00,89,1147.04,1204.80,270.00,10.44
6.00,9,1150.16,1804.80,270.00,10.51
6.00,91,21.70,1795.20,90.00,5.18
6.00,92,1204.80,1215.50,0.00,0.00
6.00,93,584.50,4.80,270.00,0.00
6.00,95,59.15,595.20,90.00,11.51
6.00,96,1204.80,15.50,0.00,0.00
6.00,98,628.25,1195.20,90.00,6.32
6.00,99,626.93,-4.80,90.00,5.43
7.00,0,673.32,1795.20,90.00,14.05
7.00,1,595.20,1132.91,180.00,11.12
7.00,10,1195.20,1726.51,180.00,13.41
7.00,11,4.80,1271.88,0.00,13.24
7.00,12,62.29,-4.80,90.00,12.64
7.00,13,57.48,1795.20,90.00,10.08
7.00,14,527.42,1204.80,270.00,12.81
7.00,15,530.31,604.80,270.00,11.39
7.00,16,1235.92,1795.20,90.00,8.39
7.00,17,66.42,1195.20,90.00,12.33
7.00,18,1195.20,1129.69,180.00,13.14
7.00,19,1732.18,604.80,270.00,13.28
7.00,2,1267.35,1795.20,90.00,12.95
7.00,20,1795.20,1133.42,180.00,11.88
7.00,21,675.44,1195.20,90.00,15.21
7.00,22,664.26,595.20,90.00,11.74
7.00,23,37.61,1195.20,90.00,8.78
7.00,24,4.80,60.62,0.00,11.65
7.00,25,1795.20,526.80,180.00,13.16
7.00,26,604.80,71.76,0.00,14.18
7.00,27,530.03,1804.80,270.00,10.94
7.00,28,1204.80,34.69,0.00,7.35
7.00,29,604.80,617.54,0.00,2.04
7.00,3,1130.10,4.80,270.00,11.02
7.00,30,633.63,1795.20,90.00,7.30
7.00,31,1731.19,1804.80,270.00,13.80
7.00,32,567.84,1804.80,270.00,6.69
7.00,33,1195.20,524.20,180.00,13.23
7.00,34,1722.51,4.80,270.00,14.33
7.00,35,567.56,1204.80,270.00,6.41
7.00,36,4.80,31.97,0.00,8.30
7.00,37,-4.80,1129.43,180.00,12.59
7.00,38,561.96,604.80,270.00,9.04
7.00,39,4.80,669.06,0.00,12.50
7.00,4,604.80,667.29,0.00,12.71
7.00,40,4.80,14.04,0.00,2.54
7.00,41,1795.20,564.18,180.00,8.19
7.00,42,1804.80,1264.48,0.00,13.02
7.00,44,530.39,4.80,270.00,11.78
7.00,45,1171.60,1804.80,270.00,5.81
7.00,46,582.70,1804.80,270.00,1.80
7.00,47,633.51,595.20,90.00,7.93
7.00,48,604.80,34.16,0.00,7.49
7.00,49,582.12,1204.80,270.00,2.38
7.00,5,604.80,635.93,0.00,8.23
7.00,50,604.80,1260.74,0.00,11.86
7.00,51,1804.80,1230.99,0.00,6.76
7.00,53,604.80,17.92,0.00,2.42
7.00,54,1768.02,1804.80,270.00,8.03
7.00,55,1786.07,1804.80,270.00,2.43
7.00,56,1195.20,1165.69,180.00,7.50
7.00,57,669.07,-4.80,90.00,13.51
7.00,58,17.30,1195.20,90.00,1.80
7.00,6,1269.12,-4.80,90.00,12.98
7.00,60,1195.20,560.43,180.00,8.99
7.00,61,1217.71,1795.20,90.00,2.21
7.00,62,-4.80,1732.55,180.00,11.85
7.00,63,1795.20,582.70,180.00,1.80
7.00,64,1770.56,4.80,270.00,7.47
7.00,65,1163.20,4.80,270.00,9.13
7.00,66,595.20,1733.03,180.00,12.46
7.00,67,-4.80,1163.04,180.00,8.61
7.00,69,4.80,1236.87,0.00,8.28
7.00,7,1204.80,1271.73,0.00,12.14
7.00,71,1795.20,1165.12,180.00,7.98
7.00,73,1233.53,-4.80,90.00,7.50
7.00,74,1731.09,1204.80,270.00,11.97
7.00,75,564.77,4.80,270.00,8.17
7.00,78,616.81,595.20,90.00,1.31
7.00,79,1184.50,1804.80,270.00,0.00
7.00,8,1204.80,74.86,0.00,14.70
7.00,80,582.90,604.80,270.00,1.60
7.00,81,1204.80,1235.67,0.00,7.86
7.00,82,-4.80,528.09,180.00,13.28
7.00,83,4.80,1217.32,0.00,1.82
7.00,85,1766.39,604.80,270.00,7.32
7.00,86,-4.80,1767.43,180.00,8.79
7.00,87,1804.80,1216.65,0.00,1.15
7.00,88,1265.36,595.20,90.00,12.60
7.00,89,1135.67,1204.80,270.00,11.38
7.00,9,1137.05,1804.80,270.00,13.11
7.00,91,28.89,1795.20,90.00,7.18
7.00,92,1204.80,1217.13,0.00,1.63
7.00,93,582.11,4.80,270.00,2.39
7.00,95,71.52,595.20,90.00,12.37
7.00,96,1204.80,18.09,0.00,2.59
7.00,98,636.30,1195.20,90.00,8.05
7.00,99,634.87,-4.80,90.00,7.95
8.00,0,688.87,1795.20,90.00,15.54
8.00,1,595.20,1122.08,180.00,10.83
8.00,10,1195.20,1713.12,180.00,13.38
8.00,11,4.80,1286.36,0.00,14.48
8.00,12,74.40,-4.80,90.00,12.11
8.00,13,67.75,1795.20,90.00,10.26
8.00,14,514.28,1204.80,270.00,13.14
8.00,15,519.28,604.80,270.00,11.03
8.00,16,1246.78,1795.20,90.00,10.86
8.00,17,80.13,1195.20,90.00,13.71
8.00,18,1195.20,1115.04,180.00,14.65
8.00,19,1719.00,604.80,270.00,13.18
8.00,2,1279.46,1795.20,90.00,12.11
8.00,20,1795.20,1121.06,180.00,12.36
8.00,21,690.93,1195.20,90.00,15.48
8.00,22,677.71,595.20,90.00,13.45
8.00,23,48.64,1195.20,90.00,11.03
8.00,24,4.80,72.72,0.00,12.09
8.00,25,1795.20,513.68,180.00,13.12
8.00,26,604.80,85.09,0.00,13.33
8.00,27,518.41,1804.80,270.00,11.62
8.00,28,1204.80,44.03,0.00,9.33
8.00,29,604.80,621.69,0.00,4.14
8.00,3,1118.30,4.80,270.00,11.80
8.00,30,642.54,1795.20,90.00,8.91
8.00,31,1716.43,1804.80,270.00,14.77
8.00,32,559.77,1804.80,270.00,8.07
8.00,33,1195.20,510.90,180.00,13.29
8.00,34,1707.80,4.80,270.00,14.71
8.00,35,559.76,1204.80,270.00,7.80
8.00,36,4.80,42.10,0.00,10.13
8.00,37,-4.80,1117.06,180.00,12.37
8.00,38,551.05,604.80,270.00,10.92
8.00,39,4.80,681.87,0.00,12.80
8.00,4,604.80,679.78,0.00,12.49
8.00,40,4.80,18.96,0.00,4.92
8.00,41,1795.20,554.20,180.00,9.97
8.00,42,1804.80,1276.72,0.00,12.24
8.00,44,518.65,4.80,270.00,11.75
8.00,45,1163.77,1804.80,270.00,7.83
8.00,46,579.48,1804.80,270.00,3.22
8.00,47,643.23,595.20,90.00,9.72
8.00,48,604.80,43.22,0.00,9.07
8.00,49,577.29,1204.80,270.00,4.84
8.00,5,604.80,645.77,0.00,9.84
8.00,50,604.80,1274.09,0.00,13.35
8.00,51,1804.80,1239.72,0.00,8.72
8.00,53,604.80,22.69,0.00,4.76
8.00,54,1757.87,1804.80,270.00,10.15
8.00,55,1781.23,1804.80,270.00,4.85
8.00,56,1195.20,1156.41,180.00,9.29
8.00,57,682.31,-4.80,90.00,13.25
8.00,58,21.59,1195.20,90.00,4.28
8.00,6,1281.54,-4.80,90.00,12.42
8.00,60,1195.20,549.00,180.00,11.43
8.00,61,1221.52,1795.20,90.00,3.81
8.00,62,-4.80,1720.49,180.00,12.06
8.00,63,1795.20,579.22,180.00,3.48
8.00,64,1761.62,4.80,270.00,8.94
8.00,65,1152.66,4.80,270.00,10.55
8.00,66,595.20,1718.29,180.00,14.74
8.00,67,-4.80,1152.12,180.00,10.93
8.00,69,4.80,1247.22,0.00,10.35
8.00,7,1204.80,1283.73,0.00,12.00
8.00,71,1795.20,1155.75,180.00,9.38
8.00,73,1242.46,-4.80,90.00,8.93
8.00,74,1719.42,1204.80,270.00,11.67
8.00,75,554.88,4.80,270.00,9.89
8.00,78,620.50,595.20,90.00,3.68
8.00,79,1182.42,1804.80,270.00,2.08
8.00,8,1204.80,91.03,0.00,16.17
8.00,80,579.55,604.80,270.00,3.35
8.00,81,1204.80,1245.31,0.00,9.64
8.00,82,-4.80,514.65,180.00,13.44
8.00,83,4.80,1221.29,0.00,3.97
8.00,85,1756.50,604.80,270.00,9.89
8.00,86,-4.80,1756.44,180.00,10.99
8.00,87,1804.80,1219.15,0.00,2.50
8.00,88,1278.33,595.20,90.00,12.97
8.00,89,1124.40,1204.80,270.00,11.27
8.00,9,1122.49,1804.80,270.00,14.56
8.00,91,38.04,1795.20,90.00,9.15
8.00,92,1204.80,1220.71,0.00,3.58
8.00,93,578.07,4.80,270.00,4.04
8.00,95,84.19,595.20,90.00,12.67
8.00,96,1204.80,22.77,0.00,4.68
8.00,98,646.55,1195.20,90.00,10.25
8.00,99,645.02,-4.80,90.00,10.15
9.00,0,705.34,1795.20,90.00,16.47
9.00,1,595.20,1111.14,180.00,10.95
9.00,10,1195.20,1699.52,180.00,13.61
9.00,11,4.80,1300.03,0.00,13.67
